month,store,product,units,unit_price,revenue,gross_margin_pct
2026-03,台中勤美,冷萃,291,160,46560,70
2026-03,台中勤美,咖啡豆 250g,521,420,218820,44.4
2026-03,台中勤美,訂閱方案,178,599,106622,53.1
2026-03,高雄駁二,單品手沖,405,180,72900,62.2
2026-03,高雄駁二,拿鐵,396,140,55440,68.9
2026-03,高雄駁二,冷萃,234,160,37440,68.9
2026-03,高雄駁二,咖啡豆 250g,435,420,182700,44.7
2026-03,高雄駁二,訂閱方案,132,599,79068,56.1
2026-03,線上訂閱,咖啡豆 250g,591,420,248220,46.7
2026-03,線上訂閱,訂閱方案,411,599,246189,55.7
2026-04,台北信義,單品手沖,677,180,121860,60.1
2026-04,台北信義,拿鐵,653,140,91420,68.4
2026-04,台北信義,冷萃,887,160,141920,71.6
2026-04,台北信義,咖啡豆 250g,563,420,236460,43.5
2026-04,台北信義,訂閱方案,215,599,128785,53.4
2026-04,台中勤美,單品手沖,455,180,81900,60
2026-04,台中勤美,拿鐵,507,140,70980,69.8
2026-04,台中勤美,冷萃,637,160,101920,68.5
2026-04,台中勤美,咖啡豆 250g,467,420,196140,45.7
2026-04,台中勤美,訂閱方案,178,599,106622,54.8
2026-04,高雄駁二,單品手沖,463,180,83340,61.7
2026-04,高雄駁二,拿鐵,436,140,61040,69.1
2026-04,高雄駁二,冷萃,565,160,90400,69.7
2026-04,高雄駁二,咖啡豆 250g,385,420,161700,43.9
2026-04,高雄駁二,訂閱方案,170,599,101830,56.9
2026-04,線上訂閱,咖啡豆 250g,517,420,217140,46.7
2026-04,線上訂閱,訂閱方案,422,599,252778,53.5
2026-05,台北信義,單品手沖,566,180,101880,62.4
2026-05,台北信義,拿鐵,561,140,78540,66.3
2026-05,台北信義,冷萃,785,160,125600,70.6
2026-05,台北信義,咖啡豆 250g,608,420,255360,44.9
2026-05,台北信義,訂閱方案,275,599,164725,53.3
2026-05,台中勤美,單品手沖,472,180,84960,61.3
2026-05,台中勤美,拿鐵,433,140,60620,66
2026-05,台中勤美,冷萃,646,160,103360,68.4
2026-05,台中勤美,咖啡豆 250g,455,420,191100,46.7
2026-05,台中勤美,訂閱方案,211,599,126389,56.1
2026-05,高雄駁二,單品手沖,403,180,72540,63.4
2026-05,高雄駁二,拿鐵,446,140,62440,69.2
2026-05,高雄駁二,冷萃,577,160,92320,70.3
2026-05,高雄駁二,咖啡豆 250g,396,420,166320,44.6
2026-05,高雄駁二,訂閱方案,170,599,101830,55
2026-05,線上訂閱,咖啡豆 250g,546,420,229320,45.9
2026-05,線上訂閱,訂閱方案,462,599,276738,55.5
2026-06,台北信義,單品手沖,596,180,107280,63.5
2026-06,台北信義,拿鐵,609,140,85260,70
2026-06,台北信義,冷萃,770,160,123200,69.9
2026-06,台北信義,咖啡豆 250g,622,420,261240,46.9
2026-06,台北信義,訂閱方案,251,599,150349,53.3
2026-06,台中勤美,單品手沖,442,180,79560,63.5
2026-06,台中勤美,拿鐵,475,140,66500,69
2026-06,台中勤美,冷萃,681,160,108960,71.1
2026-06,台中勤美,咖啡豆 250g,429,420,180180,44
2026-06,台中勤美,訂閱方案,219,599,131181,53.4
2026-06,高雄駁二,單品手沖,420,180,75600,63.2
2026-06,高雄駁二,拿鐵,398,140,55720,68.8
2026-06,高雄駁二,冷萃,534,160,85440,69.8
2026-06,高雄駁二,咖啡豆 250g,416,420,174720,45.3
2026-06,高雄駁二,訂閱方案,189,599,113211,54.1
2026-06,線上訂閱,咖啡豆 250g,530,420,222600,44.7
2026-06,線上訂閱,訂閱方案,453,599,271347,53.8
2026-07,台北信義,單品手沖,549,180,98820,60.9
2026-07,台北信義,拿鐵,582,140,81480,69.3
2026-07,台北信義,冷萃,714,160,114240,70.7
2026-07,台北信義,咖啡豆 250g,580,420,243600,43.5
2026-07,台北信義,訂閱方案,254,599,152146,56.7
2026-07,台中勤美,單品手沖,388,180,69840,60.5
2026-07,台中勤美,拿鐵,422,140,59080,66.1
2026-07,台中勤美,冷萃,613,160,98080,71.6
2026-07,台中勤美,咖啡豆 250g,403,420,169260,43.8
2026-07,台中勤美,訂閱方案,230,599,137770,55.8
2026-07,高雄駁二,單品手沖,343,180,61740,60.5
2026-07,高雄駁二,拿鐵,376,140,52640,66.1
2026-07,高雄駁二,冷萃,533,160,85280,70.4
2026-07,高雄駁二,咖啡豆 250g,385,420,161700,43.5
2026-07,高雄駁二,訂閱方案,173,599,103627,55.9
2026-07,線上訂閱,咖啡豆 250g,527,420,221340,45.2
2026-07,線上訂閱,訂閱方案,481,599,288119,56.1
2026-08,台北信義,單品手沖,541,180,97380,62.9
2026-08,台北信義,拿鐵,530,140,74200,66.4
2026-08,台北信義,冷萃,647,160,103520,70.5
2026-08,台北信義,咖啡豆 250g,491,420,206220,45.3
2026-08,台北信義,訂閱方案,260,599,155740,53.9
2026-08,台中勤美,單品手沖,426,180,76680,62.5
2026-08,台中勤美,拿鐵,442,140,61880,67
2026-08,台中勤美,冷萃,615,160,98400,68.2
2026-08,台中勤美,咖啡豆 250g,432,420,181440,44.6
2026-08,台中勤美,訂閱方案,232,599,138968,55.6
2026-08,高雄駁二,單品手沖,375,180,67500,60.4
2026-08,高雄駁二,拿鐵,383,140,53620,68
2026-08,高雄駁二,冷萃,515,160,82400,69.7
2026-08,高雄駁二,咖啡豆 250g,379,420,159180,46.2
2026-08,高雄駁二,訂閱方案,194,599,116206,56.6
2026-08,線上訂閱,咖啡豆 250g,499,420,209580,43.8
2026-08,線上訂閱,訂閱方案,512,599,306688,53.6
2026-09,台北信義,單品手沖,481,180,86580,63.8
2026-09,台北信義,拿鐵,567,140,79380,66.2
2026-09,台北信義,冷萃,276,160,44160,69
2026-09,台北信義,咖啡豆 250g,566,420,237720,46.5
2026-09,台北信義,訂閱方案,320,599,191680,54.1
2026-09,台中勤美,單品手沖,391,180,70380,60.1
2026-09,台中勤美,拿鐵,414,140,57960,68.2
2026-09,台中勤美,冷萃,224,160,35840,69.3
2026-09,台中勤美,咖啡豆 250g,415,420,174300,43.9
2026-09,台中勤美,訂閱方案,213,599,127587,53.2
2026-09,高雄駁二,單品手沖,325,180,58500,62.5
2026-09,高雄駁二,拿鐵,351,140,49140,69.2
2026-09,高雄駁二,冷萃,214,160,34240,70
2026-09,高雄駁二,咖啡豆 250g,368,420,154560,44.6
2026-09,高雄駁二,訂閱方案,204,599,122196,56.9
2026-09,線上訂閱,咖啡豆 250g,491,420,206220,46.8
2026-09,線上訂閱,訂閱方案,547,599,327653,55.4
